,dteday,weathersit,cnt
0,2011-01-31,1,21004
1,2011-01-31,2,16679
2,2011-01-31,3,506
3,2011-02-28,1,35190
4,2011-02-28,2,13025
5,2011-03-31,1,39703
6,2011-03-31,2,22034
7,2011-03-31,3,2308
8,2011-04-30,1,52392
9,2011-04-30,2,41683
10,2011-04-30,3,795
11,2011-05-31,1,87599
12,2011-05-31,2,48222
13,2011-06-30,1,103863
14,2011-06-30,2,39649
15,2011-07-31,1,122825
16,2011-07-31,2,18516
17,2011-08-31,1,107467
18,2011-08-31,2,29224
19,2011-09-30,1,53506
20,2011-09-30,2,67364
21,2011-09-30,3,6548
22,2011-10-31,1,82959
23,2011-10-31,2,35085
24,2011-10-31,3,5467
25,2011-11-30,1,72751
26,2011-11-30,2,23227
27,2011-11-30,3,6189
28,2011-12-31,1,55808
29,2011-12-31,2,28216
30,2011-12-31,3,3299
31,2012-01-31,1,66387
32,2012-01-31,2,30357
33,2012-02-29,1,69858
34,2012-02-29,2,31110
35,2012-02-29,3,2169
36,2012-03-31,1,100286
37,2012-03-31,2,64589
38,2012-04-30,1,144757
39,2012-04-30,2,28440
40,2012-04-30,3,1027
41,2012-05-31,1,123239
42,2012-05-31,2,72626
43,2012-06-30,1,174967
44,2012-06-30,2,27863
45,2012-07-31,1,158541
46,2012-07-31,2,40607
47,2012-07-31,3,4459
48,2012-08-31,1,143454
49,2012-08-31,2,71049
50,2012-09-30,1,168694
51,2012-09-30,2,49879
52,2012-10-31,1,104538
53,2012-10-31,2,89642
54,2012-10-31,3,4661
55,2012-11-30,1,111874
56,2012-11-30,2,40790
57,2012-12-31,1,56290
58,2012-12-31,2,66982
59,2012-12-31,3,441
